code,temp,,,,,,,,,,,,
SAU,20.60,,,,,,,,,,,,
SDN,25.65,,,,,,,,,,,,
SEN,28.47,,,,,,,,,,,,
SJM,-17.88,,,,,,,,,,,,
SLB,25.95,,,,,,,,,,,,
SLE,27.65,,,,,,,,,,,,
SLV,25.70,,,,,,,,,,,,
SOM,27.16,,,,,,,,,,,,
SRB,4.91,,,,,,,,,,,,
SSD,29.30,,,,,,,,,,,,
SUR,25.35,,,,,,,,,,,,
SVK,2.40,,,,,,,,,,,,
SVN,3.38,,,,,,,,,,,,
SWE,-4.98,,,,,,,,,,,,
SWZ,23.06,,,,,,,,,,,,
SYR,11.46,,,,,,,,,,,,
TCD,26.55,,,,,,,,,,,,
TGO,29.31,,,,,,,,,,,,
THA,27.38,,,,,,,,,,,,
TJK,-3.08,,,,,,,,,,,,
TKM,8.53,,,,,,,,,,,,
TLS,25.36,,,,,,,,,,,,
TTO,25.38,,,,,,,,,,,,
TUN,14.21,,,,,,,,,,,,
TUR,4.77,,,,,,,,,,,,
TZA,23.18,,,,,,,,,,,,
UGA,23.68,,,,,,,,,,,,
UKR,1.18,,,,,,,,,,,,
URY,21.26,,,,,,,,,,,,
USA,0.06,,,,,,,,,,,,
UZB,5.38,,,,,,,,,,,,
VCT,25.90,,,,,,,,,,,,
VEN,26.13,,,,,,,,,,,,
VIR,24.47,,,,,,,,,,,,
VNM,22.06,,,,,,,,,,,,
VUT,25.23,,,,,,,,,,,,
YEM,20.82,,,,,,,,,,,,
ZAF,21.10,,,,,,,,,,,,
ZMB,22.90,,,,,,,,,,,,
ZWE,22.92,,,,,,,,,,,,
